run,move,player,action,time_elapsed,nodes_expanded,col_cat,phase
0,0,-1,3,0.2628021240234375,35,center,early
0,1,1,6,0.17552781105041504,21,edge,early
0,2,-1,2,0.14540457725524902,27,center,early
0,3,1,6,0.23564672470092773,39,edge,early
0,4,-1,1,0.005223751068115234,3,edge,early
0,5,1,0,0.23564672470092773,39,edge,early
0,6,-1,4,0.005223751068115234,3,center,early
1,0,-1,2,0.19086885452270508,23,center,early
1,1,1,6,0.19658732414245605,27,edge,early
1,2,-1,4,0.1609175205230713,22,center,early
1,3,1,6,0.13458466529846191,19,edge,early
1,4,-1,4,0.10390043258666992,18,center,early
1,5,1,6,0.22378945350646973,37,edge,early
1,6,-1,6,0.10390043258666992,18,edge,early
1,7,1,6,0.18453454971313477,35,edge,early
1,8,-1,2,0.08908843994140625,17,center,mid
1,9,1,6,0.03878617286682129,13,edge,mid
1,10,-1,4,0.05231952667236328,15,center,mid
1,11,1,4,0.03878617286682129,13,center,mid
1,12,-1,4,0.05448126792907715,11,center,mid
1,13,1,5,0.10804462432861328,23,edge,mid
1,14,-1,0,0.11442923545837402,23,edge,mid
1,15,1,5,0.023463726043701172,9,edge,late
1,16,-1,3,0.008625507354736328,3,center,late
1,17,1,1,0.023463726043701172,9,edge,late
1,18,-1,5,0.008625507354736328,3,edge,late
2,0,-1,5,0.26553964614868164,35,edge,early
2,1,1,6,0.16878342628479004,25,edge,early
2,2,-1,3,0.21512365341186523,35,center,early
2,3,1,6,0.08115029335021973,13,edge,early
2,4,-1,1,0.06722021102905273,13,edge,early
2,5,1,6,0.17150402069091797,23,edge,early
2,6,-1,6,0.06722021102905273,13,edge,early
2,7,1,6,0.1269218921661377,21,edge,early
2,8,-1,3,0.1049807071685791,19,center,mid
2,9,1,6,0.04823803901672363,9,edge,mid
2,10,-1,3,0.09808111190795898,17,center,mid
2,11,1,3,0.04823803901672363,9,center,mid
2,12,-1,2,0.008879899978637695,3,center,mid
2,13,1,0,0.04823803901672363,9,edge,mid
2,14,-1,4,0.008879899978637695,3,center,mid
3,0,-1,2,0.24660253524780273,23,center,early
3,1,1,6,0.22755742073059082,27,edge,early
3,2,-1,3,0.19042134284973145,27,center,early
3,3,1,6,0.2705376148223877,39,edge,early
3,4,-1,1,0.005410909652709961,3,edge,early
3,5,1,0,0.2705376148223877,39,edge,early
3,6,-1,4,0.005410909652709961,3,center,early
4,0,-1,3,0.2900969982147217,35,center,early
4,1,1,6,0.2196338176727295,21,edge,early
4,2,-1,2,0.2254962921142578,27,center,early
4,3,1,6,0.24455881118774414,39,edge,early
4,4,-1,6,0.19074559211730957,25,edge,early
4,5,1,6,0.1940476894378662,37,edge,early
4,6,-1,1,0.006050586700439453,3,edge,early
4,7,1,0,0.1940476894378662,37,edge,early
4,8,-1,4,0.006050586700439453,3,center,mid
5,0,-1,2,0.19498109817504883,23,center,early
5,1,1,6,0.19898414611816406,27,edge,early
5,2,-1,5,0.2337040901184082,35,edge,early
5,3,1,6,0.16303277015686035,20,edge,early
5,4,-1,3,0.1726388931274414,25,center,early
5,5,1,4,0.16303277015686035,20,center,early
5,6,-1,2,0.13323616981506348,19,center,early
5,7,1,6,0.12267184257507324,21,edge,early
5,8,-1,6,0.13323616981506348,19,edge,mid
5,9,1,6,0.06631970405578613,15,edge,mid
5,10,-1,0,0.12038254737854004,17,edge,mid
5,11,1,1,0.06631970405578613,15,edge,mid
5,12,-1,1,0.08604311943054199,15,edge,mid
5,13,1,6,0.057640790939331055,15,edge,mid
5,14,-1,1,0.06001615524291992,15,edge,mid
5,15,1,5,0.07232546806335449,13,edge,late
5,16,-1,5,0.0764760971069336,13,edge,late
5,17,1,4,0.07232546806335449,13,center,late
5,18,-1,3,0.0764760971069336,13,center,late
5,19,1,0,0.07232546806335449,13,edge,late
5,20,-1,0,0.044248342514038086,11,edge,late
5,21,1,0,0.07232546806335449,13,edge,late
5,22,-1,0,0.0536653995513916,11,edge,late
5,23,1,5,0.04089164733886719,9,edge,late
5,24,-1,1,0.01192784309387207,3,edge,late
5,25,1,1,0.04089164733886719,9,edge,late
5,26,-1,2,0.01192784309387207,3,center,late
6,0,-1,1,0.25980377197265625,35,edge,early
6,1,1,6,0.2880544662475586,41,edge,early
6,2,-1,0,0.16161036491394043,20,edge,early
6,3,1,6,0.20544743537902832,32,edge,early
6,4,-1,3,0.16869068145751953,31,center,early
6,5,1,2,0.20544743537902832,32,center,early
6,6,-1,4,0.1735844612121582,24,center,early
6,7,1,6,0.17175507545471191,18,edge,early
6,8,-1,6,0.1735844612121582,24,edge,mid
6,9,1,6,0.11053967475891113,17,edge,mid
6,10,-1,2,0.11631369590759277,17,center,mid
6,11,1,6,0.11958122253417969,16,edge,mid
6,12,-1,2,0.07654237747192383,14,center,mid
6,13,1,5,0.0993814468383789,16,edge,mid
6,14,-1,5,0.06332659721374512,12,edge,mid
6,15,1,5,0.06001758575439453,11,edge,late
6,16,-1,2,0.07213401794433594,12,center,late
6,17,1,2,0.06001758575439453,11,center,late
6,18,-1,1,0.06990385055541992,13,edge,late
6,19,1,5,0.04842734336853027,10,edge,late
6,20,-1,5,0.04771018028259277,11,edge,late
6,21,1,5,0.04605698585510254,11,edge,late
6,22,-1,3,0.010803699493408203,3,center,late
6,23,1,0,0.04605698585510254,11,edge,late
6,24,-1,4,0.010803699493408203,3,center,late
7,0,-1,3,0.26090192794799805,35,center,early
7,1,1,6,0.16483163833618164,21,edge,early
7,2,-1,4,0.2052304744720459,27,center,early
7,3,1,6,0.23624944686889648,35,edge,early
7,4,-1,3,0.13954782485961914,19,center,early
7,5,1,6,0.09580326080322266,13,edge,early
7,6,-1,6,0.13954782485961914,19,edge,early
7,7,1,6,0.05176377296447754,11,edge,early
7,8,-1,1,0.16219258308410645,34,edge,mid
7,9,1,2,0.05176377296447754,11,center,mid
7,10,-1,4,0.02338695526123047,5,center,mid
7,11,1,6,0.017316818237304688,5,edge,mid
7,12,-1,2,0.017705917358398438,5,center,mid
7,13,1,1,0.017316818237304688,5,edge,mid
7,14,-1,2,0.009968757629394531,3,center,mid
7,15,1,5,0.006989002227783203,3,edge,late
7,16,-1,5,0.009968757629394531,3,edge,late
8,0,-1,1,0.2703266143798828,35,edge,early
8,1,1,6,0.2988295555114746,41,edge,early
8,2,-1,2,0.1523151397705078,22,center,early
8,3,1,6,0.2140343189239502,32,edge,early
8,4,-1,5,0.15641379356384277,20,edge,early
8,5,1,6,0.22344613075256348,37,edge,early
8,6,-1,6,0.15641379356384277,20,edge,early
8,7,1,6,0.08075356483459473,16,edge,early
8,8,-1,0,0.16266727447509766,27,edge,mid
8,9,1,3,0.08075356483459473,16,center,mid
8,10,-1,1,0.10140514373779297,17,edge,mid
8,11,1,6,0.09758806228637695,19,edge,mid
8,12,-1,1,0.09697794914245605,17,edge,mid
8,13,1,1,0.09758806228637695,19,edge,mid
8,14,-1,3,0.10044455528259277,16,center,mid
8,15,1,5,0.05028820037841797,9,edge,late
8,16,-1,2,0.13317251205444336,26,center,late
8,17,1,0,0.05028820037841797,9,edge,late
8,18,-1,3,0.03597569465637207,7,center,late
8,19,1,5,0.04321169853210449,9,edge,late
8,20,-1,1,0.038430213928222656,9,edge,late
8,21,1,5,0.020182132720947266,5,edge,late
8,22,-1,5,0.038430213928222656,9,edge,late
8,23,1,5,0.010857343673706055,3,edge,late
8,24,-1,4,0.017780780792236328,5,center,late
8,25,1,4,0.010857343673706055,3,center,late
8,26,-1,0,0.04214334487915039,8,edge,late
8,27,1,2,0.010857343673706055,3,center,late
8,28,-1,2,0.014967679977416992,3,center,late
8,29,1,4,0.028439760208129883,6,center,late
8,30,-1,4,0.014967679977416992,3,center,late
9,0,-1,1,0.2730586528778076,35,edge,early
9,1,1,6,0.29198408126831055,41,edge,early
9,2,-1,4,0.2291431427001953,35,center,early
9,3,1,6,0.17296504974365234,26,edge,early
9,4,-1,2,0.1586921215057373,20,center,early
9,5,1,3,0.17296504974365234,26,center,early
9,6,-1,6,0.1468803882598877,18,edge,early
9,7,1,6,0.10666155815124512,17,edge,early
9,8,-1,5,0.1378798484802246,16,edge,mid
9,9,1,6,0.10948395729064941,16,edge,mid
9,10,-1,2,0.07053256034851074,14,center,mid
9,11,1,6,0.17229270935058594,31,edge,mid
9,12,-1,4,0.07049274444580078,13,center,mid
9,13,1,5,0.024100065231323242,7,edge,mid
9,14,-1,4,0.057009220123291016,11,center,mid
9,15,1,4,0.024100065231323242,7,center,late
9,16,-1,2,0.040311336517333984,11,center,late
9,17,1,2,0.024100065231323242,7,center,late
9,18,-1,0,0.05393791198730469,12,edge,late
9,19,1,5,0.038022518157958984,9,edge,late
9,20,-1,3,0.011721134185791016,3,center,late
9,21,1,1,0.038022518157958984,9,edge,late
9,22,-1,5,0.011721134185791016,3,edge,late
10,0,-1,1,0.28609228134155273,35,edge,early
10,1,1,6,0.3292388916015625,41,edge,early
10,2,-1,3,0.1485428810119629,22,center,early
10,3,1,6,0.24802565574645996,32,edge,early
10,4,-1,4,0.1319103240966797,20,center,early
10,5,1,2,0.24802565574645996,32,center,early
10,6,-1,2,0.16172194480895996,20,center,early
10,7,1,6,0.19772005081176758,33,edge,early
10,8,-1,6,0.16172194480895996,20,edge,mid
10,9,1,6,0.11147809028625488,17,edge,mid
10,10,-1,3,0.06921982765197754,13,center,mid
10,11,1,6,0.10559511184692383,15,edge,mid
10,12,-1,0,0.09621596336364746,15,edge,mid
10,13,1,5,0.051125526428222656,11,edge,mid
10,14,-1,1,0.00873565673828125,3,edge,mid
10,15,1,0,0.051125526428222656,11,edge,late
10,16,-1,4,0.00873565673828125,3,center,late
11,0,-1,2,0.19952034950256348,23,center,early
11,1,1,6,0.18673086166381836,27,edge,early
11,2,-1,4,0.14029288291931152,22,center,early
11,3,1,6,0.11250543594360352,19,edge,early
11,4,-1,3,0.00504612922668457,3,center,early
11,5,1,1,0.11250543594360352,19,edge,early
11,6,-1,5,0.00504612922668457,3,edge,early
12,0,-1,3,0.2279810905456543,35,center,early
12,1,1,6,0.1327955722808838,21,edge,early
12,2,-1,1,0.15677165985107422,22,edge,early
12,3,1,6,0.18268561363220215,32,edge,early
12,4,-1,5,0.07073664665222168,13,edge,early
12,5,1,6,0.1491227149963379,23,edge,early
12,6,-1,6,0.07073664665222168,13,edge,early
12,7,1,6,0.12443327903747559,21,edge,early
12,8,-1,3,0.12585973739624023,19,center,mid
12,9,1,6,0.030081510543823242,9,edge,mid
12,10,-1,0,0.14333748817443848,31,edge,mid
12,11,1,2,0.030081510543823242,9,center,mid
12,12,-1,5,0.12072896957397461,29,edge,mid
12,13,1,5,0.08619546890258789,14,edge,mid
12,14,-1,5,0.1357731819152832,27,edge,mid
12,15,1,5,0.06699657440185547,12,edge,late
12,16,-1,1,0.07346820831298828,14,edge,late
12,17,1,5,0.08026337623596191,15,edge,late
12,18,-1,0,0.07047629356384277,13,edge,late
12,19,1,2,0.08026337623596191,15,center,late
12,20,-1,4,0.06041240692138672,11,center,late
12,21,1,4,0.03156781196594238,8,center,late
12,22,-1,1,0.024897336959838867,7,edge,late
12,23,1,1,0.03156781196594238,8,edge,late
12,24,-1,4,0.017505884170532227,5,center,late
12,25,1,4,0.02950263023376465,5,center,late
12,26,-1,3,0.017505884170532227,5,center,late
12,27,1,2,0.02950263023376465,5,center,late
12,28,-1,3,0.017505884170532227,5,center,late
13,0,-1,4,0.2982470989227295,35,center,early
13,1,1,6,0.1409919261932373,21,edge,early
13,2,-1,3,0.2180774211883545,27,center,early
13,3,1,6,0.20899057388305664,35,edge,early
13,4,-1,1,0.17084383964538574,20,edge,early
13,5,1,2,0.20899057388305664,35,center,early
13,6,-1,6,0.13488197326660156,18,edge,early
13,7,1,6,0.15456676483154297,22,edge,early
13,8,-1,2,0.1279277801513672,18,center,mid
13,9,1,6,0.19050335884094238,31,edge,mid
13,10,-1,5,0.0984640121459961,14,edge,mid
13,11,1,6,0.16061878204345703,29,edge,mid
13,12,-1,5,0.07821178436279297,12,edge,mid
13,13,1,5,0.05785846710205078,9,edge,mid
13,14,-1,5,0.07404065132141113,10,edge,mid
13,15,1,5,0.08760213851928711,12,edge,late
13,16,-1,2,0.05144786834716797,12,center,late
13,17,1,5,0.03961586952209473,8,edge,late
13,18,-1,1,0.03359675407409668,8,edge,late
13,19,1,4,0.02678990364074707,7,center,late
13,20,-1,0,0.030204057693481445,7,edge,late
13,21,1,4,0.02377772331237793,6,center,late
13,22,-1,3,0.013571739196777344,5,center,late
13,23,1,0,0.02377772331237793,6,edge,late
13,24,-1,1,0.01592278480529785,5,edge,late
13,25,1,1,0.02377772331237793,6,edge,late
13,26,-1,2,0.01658177375793457,5,center,late
13,27,1,2,0.02377772331237793,6,center,late
13,28,-1,3,0.011606454849243164,3,center,late
13,29,1,0,0.02377772331237793,6,edge,late
13,30,-1,0,0.011606454849243164,3,edge,late
14,0,-1,4,0.2651362419128418,35,center,early
14,1,1,6,0.1307368278503418,21,edge,early
14,2,-1,3,0.16666960716247559,27,center,early
14,3,1,6,0.20718836784362793,35,edge,early
14,4,-1,6,0.1371452808380127,25,edge,early
14,5,1,6,0.19724440574645996,33,edge,early
14,6,-1,3,0.1352541446685791,18,center,early
14,7,1,6,0.09035515785217285,11,edge,early
14,8,-1,2,0.008607864379882812,3,center,mid
14,9,1,1,0.09035515785217285,11,edge,mid
14,10,-1,5,0.008607864379882812,3,edge,mid
15,0,-1,5,0.3074796199798584,35,edge,early
15,1,1,6,0.2287752628326416,25,edge,early
15,2,-1,3,0.2499849796295166,35,center,early
15,3,1,6,0.08437657356262207,13,edge,early
15,4,-1,1,0.08021044731140137,13,edge,early
15,5,1,6,0.15018701553344727,23,edge,early
15,6,-1,6,0.08021044731140137,13,edge,early
15,7,1,6,0.14324951171875,21,edge,early
15,8,-1,3,0.1046903133392334,19,center,mid
15,9,1,6,0.05244755744934082,9,edge,mid
15,10,-1,5,0.10149192810058594,17,edge,mid
15,11,1,5,0.025671005249023438,7,edge,mid
15,12,-1,4,0.15167021751403809,22,center,mid
15,13,1,2,0.025671005249023438,7,center,mid
15,14,-1,4,0.07701516151428223,15,center,mid
15,15,1,2,0.025671005249023438,7,center,late
15,16,-1,5,0.072418212890625,13,edge,late
15,17,1,5,0.04474806785583496,10,edge,late
15,18,-1,4,0.06088423728942871,11,center,late
15,19,1,4,0.04474806785583496,10,center,late
15,20,-1,3,0.06088423728942871,11,center,late
15,21,1,3,0.04474806785583496,10,center,late
15,22,-1,3,0.06088423728942871,11,center,late
15,23,1,5,0.04851102828979492,11,edge,late
15,24,-1,0,0.05207037925720215,11,edge,late
15,25,1,4,0.018440723419189453,5,center,late
15,26,-1,2,0.05207037925720215,11,center,late
15,27,1,2,0.018440723419189453,5,center,late
15,28,-1,4,0.027332544326782227,7,center,late
15,29,1,3,0.02059483528137207,5,center,late
15,30,-1,2,0.020609617233276367,5,center,late
15,31,1,2,0.013550519943237305,3,center,late
15,32,-1,0,0.011276483535766602,3,edge,late
15,33,1,1,0.011010408401489258,3,edge,late
15,34,-1,1,0.011276483535766602,3,edge,late
16,0,-1,1,0.29097723960876465,35,edge,early
16,1,1,6,0.32985472679138184,41,edge,early
16,2,-1,0,0.1422867774963379,20,edge,early
16,3,1,6,0.26679372787475586,32,edge,early
16,4,-1,4,0.2113947868347168,26,center,early
16,5,1,6,0.24300813674926758,37,edge,early
16,6,-1,6,0.2113947868347168,26,edge,early
16,7,1,6,0.21465063095092773,35,edge,early
16,8,-1,1,0.16060328483581543,21,edge,mid
16,9,1,6,0.18393802642822266,20,edge,mid
16,10,-1,2,0.1683638095855713,22,center,mid
16,11,1,3,0.18393802642822266,20,center,mid
